1680123600000,92.10000000,92.15000000,91.53000000,91.54000000,9956.32600000,1680127199999,915314.46283000,2927,4663.34100000,428769.74914000,0
1680127200000,91.54000000,91.67000000,90.93000000,91.32000000,30625.99000000,1680130799999,2794348.24268000,5896,14717.94500000,1342799.87890000,0
1680130800000,91.31000000,91.75000000,91.15000000,91.31000000,9983.32800000,1680134399999,913218.23720000,2604,5461.45600000,499714.86178000,0
1680134400000,91.31000000,91.54000000,90.10000000,90.37000000,17975.56500000,1680137999999,1632608.35247000,5090,7989.87400000,726155.24374000,0
1680138000000,90.34000000,90.53000000,89.18000000,89.93000000,39552.79500000,1680141599999,3548688.79664000,9987,17125.98500000,1536590.61644000,0
1680141600000,89.93000000,93.34000000,89.80000000,92.54000000,90193.18800000,1680145199999,8307381.16584000,19361,47147.70500000,4338925.59651000,0
1680145200000,92.54000000,92.54000000,88.30000000,90.03000000,107553.04400000,1680148799999,9683090.53719000,27356,48164.03600000,4334422.98972000,0
1680148800000,90.03000000,90.65000000,89.72000000,90.34000000,26372.94700000,1680152399999,2380438.75924000,5330,13159.61300000,1188295.74269000,0
1680152400000,90.34000000,90.48000000,89.89000000,90.45000000,15334.27500000,1680155999999,1381909.34658000,3708,6709.12300000,604599.82834000,0
1680156000000,90.44000000,90.72000000,89.87000000,90.30000000,22919.22500000,1680159599999,2067693.46030000,4973,9590.72100000,865238.11855000,0
1680159600000,90.30000000,90.93000000,89.97000000,90.64000000,24212.75200000,1680163199999,2194151.56779000,5447,13372.22700000,1211585.71323000,0
1680163200000,90.63000000,90.80000000,90.00000000,90.02000000,23698.99400000,1680166799999,2143542.79902000,4387,9260.59400000,837683.09986000,0
1680166800000,90.01000000,90.26000000,89.52000000,90.06000000,27893.45300000,1680170399999,2508866.72271000,5790,16195.87400000,1456554.94025000,0
1680170400000,90.06000000,90.25000000,89.83000000,90.23000000,12442.55700000,1680173999999,1120619.88117000,3273,6875.77300000,619324.16637000,0
1680174000000,90.22000000,90.37000000,90.03000000,90.04000000,20256.08600000,1680177599999,1827563.29338000,3806,6921.78800000,624406.91631000,0
1680177600000,90.05000000,90.19000000,89.72000000,90.10000000,20306.84400000,1680181199999,1827666.43484000,4354,10113.54300000,910247.76297000,0
1680181200000,90.10000000,90.22000000,89.68000000,89.75000000,31553.70800000,1680184799999,2840315.75627000,5869,12263.88700000,1104076.51706000,0
1680184800000,89.77000000,89.79000000,88.87000000,89.54000000,42628.63100000,1680188399999,3809048.31940000,10445,19443.86300000,1737297.03799000,0
1680188400000,89.54000000,89.80000000,88.90000000,89.15000000,26339.61200000,1680191999999,2350959.79216000,7084,10739.60600000,958805.79394000,0
1680192000000,89.16000000,89.16000000,88.31000000,89.05000000,37228.20500000,1680195599999,3305451.11277000,9901,17423.36500000,1547189.29334000,0
1680195600000,89.04000000,89.24000000,86.66000000,87.23000000,65973.98000000,1680199199999,5791312.10729000,17803,26588.96200000,2334174.41998000,0
1680199200000,87.22000000,88.05000000,87.04000000,88.00000000,23609.27900000,1680202799999,2065028.10815000,7736,10345.61400000,905025.04905000,0
1680202800000,88.00000000,88.59000000,87.90000000,88.33000000,20080.10600000,1680206399999,1771132.16559000,5556,7727.34500000,681465.28025000,0
1680206400000,88.33000000,89.52000000,88.19000000,89.48000000,23255.27800000,1680209999999,2067565.27346000,5633,11581.08500000,1029855.41760000,0
1680210000000,89.49000000,89.56000000,88.81000000,89.01000000,10595.43000000,1680213599999,944028.73106000,3450,3938.85400000,350945.46530000,0
1680213600000,89.01000000,89.25000000,88.28000000,88.55000000,10997.43800000,1680217199999,977026.57374000,3320,4293.17200000,381276.27862000,0
1680217200000,88.55000000,89.13000000,88.40000000,89.06000000,10326.71800000,1680220799999,917111.22843000,2804,5490.97900000,487648.97813000,0
1680220800000,89.06000000,89.54000000,88.48000000,89.28000000,20395.10700000,1680224399999,1816002.13191000,4651,9229.54100000,822484.70965000,0
1680224400000,89.28000000,90.08000000,89.23000000,89.40000000,21607.08700000,1680227999999,1937657.89194000,5360,10504.26600000,942046.52972000,0
1680228000000,89.39000000,89.88000000,89.18000000,89.57000000,23284.39500000,1680231599999,2084566.14254000,4197,10691.14000000,957321.65918000,0
1680231600000,89.57000000,89.84000000,89.36000000,89.76000000,9907.97800000,1680235199999,888392.63984000,2403,4344.21600000,389575.47121000,0
1680235200000,89.76000000,90.12000000,89.62000000,90.05000000,10379.53600000,1680238799999,932242.29872000,2532,5117.44800000,459763.97815000,0
1680238800000,90.06000000,90.26000000,89.16000000,89.46000000,14793.64400000,1680242399999,1327897.39481000,3932,6638.56300000,595937.99206000,0
1680242400000,89.46000000,89.57000000,89.06000000,89.08000000,17326.48300000,1680245999999,1547419.34696000,3420,7495.45300000,669400.17256000,0
1680246000000,89.09000000,89.21000000,87.23000000,88.17000000,76073.15000000,1680249599999,6713996.65212000,14144,38834.42600000,3427237.61191000,0
1680249600000,88.14000000,88.48000000,87.97000000,88.13000000,39091.69800000,1680253199999,3445757.82066000,8867,16181.29100000,1426534.50924000,0
1680253200000,88.13000000,88.34000000,87.76000000,88.06000000,18725.84500000,1680256799999,1648168.45327000,4159,10082.68700000,887594.77510000,0
1680256800000,88.06000000,88.61000000,88.00000000,88.17000000,13168.21400000,1680260399999,1162927.29304000,3277,7213.52000000,637062.98769000,0
1680260400000,88.17000000,88.52000000,88.01000000,88.33000000,10972.03400000,1680263999999,968132.10743000,2919,5817.56600000,513444.56485000,0
